epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.7363,0.59815,3.24662,1.12936,0.00628,1,0.36755,0.33344,0.29711,3.28444,0.92603,0.00014,0.00014,0.00014
2,59.9753,0.35869,1.93021,0.96011,0.9789,0.30129,0.6303,0.56021,0.40328,2.26145,1.00935,0.000284258,0.000284258,0.000284258
3,82.7377,0.34988,1.15195,0.92118,0.92421,0.49428,0.67551,0.55291,0.60966,1.96729,1.3496,0.000422576,0.000422576,0.000422576
4,102.894,0.35012,0.96175,0.92025,0.87859,0.68677,0.82687,0.69651,0.46628,1.31518,1.05476,0.000554954,0.000554954,0.000554954
5,125.746,0.35328,0.91779,0.92119,0.73238,0.60549,0.7375,0.59414,0.5046,1.56354,1.06778,0.000681392,0.000681392,0.000681392
6,147.365,0.37318,0.83893,0.92984,0.95756,0.65348,0.85022,0.73601,0.47131,1.07436,1.09877,0.00080189,0.00080189,0.00080189
7,167.811,0.37752,0.77677,0.92971,0.93727,0.46634,0.63387,0.49914,0.51919,1.569,1.07229,0.0008812,0.0008812,0.0008812
8,190.934,0.36835,0.71274,0.93744,0.77592,0.6312,0.85087,0.73689,0.55845,1.65646,1.15627,0.0008614,0.0008614,0.0008614
9,211.988,0.35267,0.64578,0.91942,0.86386,0.49043,0.54633,0.49143,0.48464,1.24753,1.10019,0.0008416,0.0008416,0.0008416
10,232.947,0.34427,0.60585,0.91356,0.83459,0.88857,0.93541,0.82445,0.41241,0.68275,1.00252,0.0008218,0.0008218,0.0008218
11,252.281,0.34702,0.5834,0.92345,0.8527,0.68846,0.77493,0.64473,0.4837,1.1194,1.09016,0.000802,0.000802,0.000802
12,273.507,0.33029,0.55822,0.91791,0.89491,0.70953,0.87051,0.76157,0.41748,0.70826,0.99715,0.0007822,0.0007822,0.0007822
13,295.835,0.32768,0.49411,0.90633,0.91743,0.87056,0.97982,0.92855,0.33872,0.46817,0.90598,0.0007624,0.0007624,0.0007624
14,318.241,0.30888,0.46719,0.90556,0.93535,0.97873,0.99145,0.95114,0.30117,0.38993,0.88157,0.0007426,0.0007426,0.0007426
15,339.14,0.30729,0.43274,0.89414,0.99094,0.99071,0.99474,0.96049,0.31346,0.33296,0.89035,0.0007228,0.0007228,0.0007228
16,360.806,0.30949,0.43048,0.90268,0.90928,0.91277,0.99154,0.92024,0.33788,0.4218,0.89672,0.000703,0.000703,0.000703
17,382.478,0.29672,0.39616,0.89473,0.94567,0.83905,0.91315,0.82399,0.3866,0.47122,0.94654,0.0006832,0.0006832,0.0006832
18,402.929,0.30745,0.40325,0.90348,0.98388,0.99342,0.99482,0.93284,0.29287,0.28802,0.8624,0.0006634,0.0006634,0.0006634
19,423.243,0.29272,0.40639,0.89791,0.96427,0.93167,0.99361,0.94877,0.31734,0.39072,0.88265,0.0006436,0.0006436,0.0006436
20,443.59,0.28994,0.36774,0.89214,0.98665,0.99559,0.995,0.96501,0.27367,0.27607,0.86574,0.0006238,0.0006238,0.0006238
21,465.995,0.29346,0.35764,0.89834,0.96181,0.95769,0.9583,0.91802,0.30824,0.30121,0.87788,0.000604,0.000604,0.000604
22,486.089,0.27682,0.35203,0.8847,0.92801,0.93956,0.97221,0.90297,0.32918,0.31682,0.88467,0.0005842,0.0005842,0.0005842
23,507.174,0.27931,0.32327,0.89076,0.97302,0.95672,0.97,0.9165,0.34583,0.28418,0.90148,0.0005644,0.0005644,0.0005644
24,527.551,0.27403,0.31949,0.88143,0.99121,0.97415,0.99462,0.96769,0.27031,0.27353,0.86122,0.0005446,0.0005446,0.0005446
25,548.466,0.27455,0.31353,0.88575,0.98155,0.99295,0.995,0.97204,0.24896,0.2398,0.83873,0.0005248,0.0005248,0.0005248
26,570.068,0.2697,0.30723,0.88305,0.9905,0.9961,0.995,0.97161,0.25476,0.24653,0.83717,0.000505,0.000505,0.000505
27,589.29,0.26158,0.29434,0.88181,0.97278,0.98344,0.99458,0.96843,0.27174,0.24842,0.85929,0.0004852,0.0004852,0.0004852
28,611.9,0.26837,0.29169,0.88968,0.97991,0.99524,0.99326,0.9615,0.2599,0.24664,0.84532,0.0004654,0.0004654,0.0004654
29,631.555,0.26013,0.29322,0.87778,0.98822,0.98299,0.995,0.97541,0.25913,0.24732,0.84231,0.0004456,0.0004456,0.0004456
30,653.546,0.2635,0.30887,0.88212,0.98732,0.99324,0.995,0.97353,0.27222,0.23515,0.84005,0.0004258,0.0004258,0.0004258
31,674.586,0.26818,0.29336,0.88084,0.98147,0.93602,0.98667,0.96864,0.24116,0.2241,0.83209,0.000406,0.000406,0.000406
32,692.845,0.25325,0.27595,0.87251,0.97932,0.99425,0.995,0.96499,0.26715,0.22934,0.85068,0.0003862,0.0003862,0.0003862
33,715.761,0.25645,0.27863,0.87824,0.98679,0.98799,0.99444,0.97692,0.2188,0.20397,0.81798,0.0003664,0.0003664,0.0003664
34,736.5,0.2407,0.26186,0.87469,0.99373,0.99631,0.995,0.9834,0.2255,0.18946,0.82045,0.0003466,0.0003466,0.0003466
35,759.819,0.24112,0.25702,0.87547,0.98758,0.99426,0.995,0.98212,0.23483,0.20983,0.82401,0.0003268,0.0003268,0.0003268
36,780.529,0.24057,0.25479,0.87941,0.98674,0.99511,0.995,0.9887,0.21887,0.19238,0.81562,0.000307,0.000307,0.000307
37,801.095,0.22956,0.25209,0.87701,0.98092,1,0.995,0.98695,0.21683,0.17859,0.81601,0.0002872,0.0002872,0.0002872
38,822.188,0.22967,0.23412,0.87403,0.99408,0.99524,0.99482,0.98125,0.21919,0.18356,0.82306,0.0002674,0.0002674,0.0002674
39,842.975,0.23074,0.22984,0.88043,0.99037,0.99649,0.995,0.98689,0.21223,0.17486,0.81368,0.0002476,0.0002476,0.0002476
40,864.775,0.2301,0.22705,0.87623,0.98957,0.9944,0.995,0.97342,0.22941,0.18094,0.82344,0.0002278,0.0002278,0.0002278
41,894.763,0.20064,0.2455,0.83785,0.9926,0.99579,0.995,0.98625,0.24469,0.20157,0.83068,0.000208,0.000208,0.000208
42,914.557,0.20254,0.21428,0.83424,0.99244,0.99489,0.995,0.9721,0.22109,0.1858,0.81603,0.0001882,0.0001882,0.0001882
43,935.083,0.19603,0.20319,0.82875,0.99123,0.99736,0.995,0.98772,0.21983,0.17225,0.81533,0.0001684,0.0001684,0.0001684
44,954.808,0.19056,0.19741,0.82242,0.99478,1,0.995,0.98571,0.20823,0.1661,0.80851,0.0001486,0.0001486,0.0001486
45,974.647,0.19458,0.19822,0.81927,0.99139,1,0.995,0.98484,0.20971,0.15984,0.80897,0.0001288,0.0001288,0.0001288
46,993.034,0.18722,0.19762,0.8271,0.99229,1,0.995,0.9866,0.21143,0.15995,0.81245,0.000109,0.000109,0.000109
47,1013.73,0.17826,0.18123,0.81298,0.99279,0.99461,0.995,0.99005,0.20017,0.15591,0.80516,8.92e-05,8.92e-05,8.92e-05
48,1032.94,0.1749,0.1784,0.82096,0.99232,0.99511,0.995,0.99078,0.19864,0.15416,0.80202,6.94e-05,6.94e-05,6.94e-05
49,1053.71,0.16688,0.16914,0.81079,0.9942,0.9963,0.995,0.99122,0.19693,0.14607,0.80082,4.96e-05,4.96e-05,4.96e-05
50,1072.98,0.16916,0.16776,0.81238,0.99358,0.99353,0.995,0.99194,0.19708,0.14989,0.80058,2.98e-05,2.98e-05,2.98e-05
